,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH
WeakSeed_GaussianNB_tourney_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,Oregon,McNeese St,Texas A&M,Boise St,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,Arizona,Tennessee,NC State,Arizona,Houston,Purdue
Winner_GaussianNB_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,Illinois,Auburn,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Boise St,NC State,James Madison,Connecticut,Illinois,North Carolina,Arizona,Purdue,Tennessee,Houston,NC State,Illinois,Arizona,Purdue,Houston,Arizona,Purdue,Arizona
StrongSeed_DecisionTreeClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Yale,North Carolina,Arizona,Baylor,Col Charleston,Purdue,Tennessee,Creighton,Samford,Houston,Marquette,Oakland,Vermont,Connecticut,Drake,North Carolina,Arizona,TCU,Tennessee,Houston,Marquette,San Diego St,North Carolina,Samford,Houston,Illinois,Tennessee,Illinois
WeakSeed_DecisionTreeClassifier_tourney_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,San Diego St,Illinois,Grand Canyon,Baylor,Samford,Oregon,James Madison,NC State,Illinois,Arizona,Tennessee,NC State,Arizona,Houston,Tennessee
Winner_DecisionTreeClassifier_tourney_rating_rol5,Connecticut,S Dakota St,Illinois,Yale,San Diego St,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Samford,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,Illinois,San Diego St,North Carolina,Arizona,Baylor,Grand Canyon,TCU,Tennessee,Oregon,Samford,Houston,Marquette,NC State,James Madison,San Diego St,Illinois,North Carolina,Arizona,Samford,Tennessee,Houston,NC State,Illinois,Arizona,Tennessee,Houston,Illinois,Tennessee,Tennessee
StrongSeed_VotingClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Duke,Connecticut,Drake,Michigan St,Arizona,Purdue,Tennessee,Houston,Colorado,Auburn,Grand Canyon,Kansas,Houston,Illinois,Kansas,Arizona
WeakSeed_VotingClassifier_tourney_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,Arizona,Tennessee,NC State,Arizona,Houston,Houston
Winner_VotingClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,Illinois,Auburn,Michigan St,Arizona,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,Arizona,Kansas,Tennessee,Houston,NC State,Illinois,Arizona,Kansas,Houston,Arizona,Houston,Houston
StrongSeed_RandomForestClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Akron,Kansas,Houston,Marquette,Kentucky,Duke,Northwestern,Drake,Michigan St,Nevada,TCU,Virginia,Houston,Colorado,Auburn,Michigan St,Kansas,Houston,Illinois,Kansas,Illinois
WeakSeed_RandomForestClassifier_tourney_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,Nevada,Oregon,NC State,Nevada,Houston,Houston
Winner_RandomForestClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Illinois,Auburn,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,Kansas,Houston,Colorado,NC State,James Madison,Auburn,Illinois,Michigan St,Nevada,Kansas,Oregon,Houston,NC State,Illinois,Nevada,Kansas,Houston,Illinois,Houston,Houston
StrongSeed_LogisticRegression_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Vermont,Connecticut,Drake,Michigan St,Arizona,Purdue,Virginia,Texas A&M,Colorado,Connecticut,Alabama,Kansas,James Madison,Connecticut,Kansas,Arizona
WeakSeed_LogisticRegression_tourney_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,Utah St,Virginia,South Carolina,Gonzaga,Texas A&M,Colorado,NC State,James Madison,Auburn,Duquesne,Alabama,New Mexico,Kansas,South Carolina,James Madison,Kentucky,Drake,Arizona,Virginia,Kentucky,Arizona,Kentucky,Kansas
Winner_LogisticRegression_tourney_rating_rol5,Connecticut,Iowa St,Morehead St,Auburn,UAB,Duquesne,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Virginia,Utah St,Houston,Marquette,Kentucky,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,Duquesne,Auburn,Michigan St,Arizona,New Mexico,Alabama,Purdue,Virginia,South Carolina,Kansas,Texas A&M,Colorado,Kentucky,James Madison,Connecticut,Drake,Alabama,Arizona,Kansas,Virginia,James Madison,Kentucky,Connecticut,Arizona,Kansas,Kentucky,Arizona,Kansas,Kansas
StrongSeed_XGBClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Duke,Connecticut,Iowa St,Michigan St,Arizona,Purdue,Tennessee,Houston,Colorado,Auburn,Grand Canyon,Kansas,Houston,Illinois,Kansas,Arizona
WeakSeed_XGBClassifier_tourney_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,Arizona,Tennessee,NC State,Arizona,Houston,Houston
Winner_XGBClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,Iowa St,Illinois,Auburn,Michigan St,Arizona,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,Arizona,Kansas,Tennessee,Houston,NC State,Illinois,Arizona,Kansas,Houston,Arizona,Houston,Arizona
StrongSeed_MLPClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,Baylor,Alabama,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Duke,Connecticut,Drake,Michigan St,Arizona,Purdue,Tennessee,Houston,Colorado,Auburn,Grand Canyon,Kansas,Houston,Illinois,Kansas,Illinois
WeakSeed_MLPClassifier_tourney_rating_rol5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,Duquesne,UAB,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Oregon,James Madison,NC State,Illinois,Arizona,Tennessee,NC State,Arizona,Houston,Houston
Winner_MLPClassifier_tourney_rating_rol5,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,Illinois,Auburn,Michigan St,Arizona,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,Arizona,Kansas,Tennessee,Houston,NC State,Illinois,Arizona,Kansas,Houston,Illinois,Houston,Houston
